Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	44	1.47915122e-05	0.0041893282	-0.110797588	-0.110797588	-0.110797588	-0.110797588	0	0	0	0	0	0	3
2	47	1.74283098e-05	0.0083786564	-0.11430408	-0.111328099	-0.11430408	-0.110797588	0.00053051103	0	0	0	0	0	3
3	51	2.02390588e-05	0.0125679846	-0.118232312	-0.112286939	-0.118232312	-0.110797588	0.00148935063	0	0	0	0	0	3
4	54	2.31709775e-05	0.0167573128	-0.12136201	-0.113435245	-0.12136201	-0.110797588	0.0026376566	0	0	0	0	0	3
5	58	2.61013774e-05	0.020946641	-0.124393669	-0.114665546	-0.124393669	-0.110797588	0.00386795818	0	0	0	0	0	3
6	62	3.06489135e-05	0.0251359692	-0.124766725	-0.11616431	-0.124766725	-0.110797588	0.00536672176	0	0	0	0	0	3
7	65	3.54507765e-05	0.0293252974	-0.125431136	-0.117419516	-0.125431136	-0.110797588	0.00662192778	0	0	0	0	0	3
8	69	4.02038796e-05	0.0335146256	-0.125773289	-0.118407141	-0.125773289	-0.110797588	0.00760955251	0	0	0	0	0	3
9	72	4.48375489e-05	0.0377039538	-0.125821134	-0.119173329	-0.125821134	-0.110797588	0.00837574052	0	0	0	0	0	3
10	76	4.92901942e-05	0.041893282	-0.125748691	-0.119767316	-0.125821134	-0.110797588	0.00896972795	0	0	0	0	0	3
11	79	5.57917886e-05	0.0460826102	-0.124119168	-0.120274451	-0.125821134	-0.110797588	0.00947686315	0	0	0	0	0	3
12	83	6.18897278e-05	0.0502719384	-0.123305086	-0.120573057	-0.125821134	-0.110797588	0.00977546888	0	0	0	0	0	3
13	86	6.76846396e-05	0.0544612666	-0.122669298	-0.120752529	-0.125821134	-0.110797588	0.00995494137	0	0	0	0	0	3
14	90	7.32767108e-05	0.0586505948	-0.122123867	-0.120857182	-0.125821134	-0.110797588	0.0100595942	0	0	0	0	0	3
15	94	7.86506047e-05	0.062839923	-0.121587915	-0.12090711	-0.125821134	-0.110797588	0.0101095224	0	0	0	0	0	3
16	97	8.64577198e-05	0.0670292512	-0.120789024	-0.120896447	-0.125821134	-0.110797588	0.0101095224	0	0	0	0	0	3
17	101	9.40414286e-05	0.0712185794	-0.120200997	-0.120840365	-0.125821134	-0.110797588	0.0101095224	0	0	0	0	0	3
18	104	0.000101625092	0.0754079076	-0.119813847	-0.120763762	-0.125821134	-0.110797588	0.0101095224	0	0	0	0	0	3
19	108	0.000109750221	0.0795972358	-0.119709542	-0.120685715	-0.125821134	-0.110797588	0.0101095224	0	0	0	0	0	3
20	111	0.000118680708	0.083786564	-0.119827968	-0.120621171	-0.125821134	-0.110797588	0.0101095224	0	0	0	0	0	3
21	114	0.000133031547	0.0879758922	-0.119980067	-0.120552012	-0.125821134	-0.110797588	0.0101095224	0	0	0	0	0	3
22	118	0.000148130273	0.0921652204	-0.12002888	-0.12049869	-0.125821134	-0.110797588	0.0101095224	0	0	0	0	0	3
23	122	0.000164188878	0.0963545486	-0.120015878	-0.120451468	-0.125821134	-0.110797588	0.0101095224	0	0	0	0	0	3
