Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	44	1.47915122e-05	0.0041893282	293.199952	293.199952	293.199952	293.199952	0	0	0	0	0	0	3
2	47	1.74283098e-05	0.0083786564	293.199938	293.19995	293.199938	293.199952	2.081817e-06	0	0	0	0	0	3
3	51	2.02390588e-05	0.0125679846	293.199959	293.199951	293.199938	293.199959	2.081817e-06	0	0	0	0	0	3
4	54	2.31709775e-05	0.0167573128	293.199927	293.199948	293.199927	293.199959	3.81303801e-06	0	0	0	0	0	3
5	58	2.61013774e-05	0.020946641	293.199917	293.199944	293.199917	293.199959	7.26306843e-06	0	0	0	0	0	3
6	62	3.06489135e-05	0.0251359692	293.19991	293.199939	293.19991	293.199959	1.23745395e-05	0	0	0	0	0	3
7	65	3.54507765e-05	0.0293252974	293.199906	293.199935	293.199906	293.199959	1.68305392e-05	0	0	0	0	0	3
8	69	4.02038796e-05	0.0335146256	293.199893	293.19993	293.199893	293.199959	2.18295472e-05	0	0	0	0	0	3
9	72	4.48375489e-05	0.0377039538	293.199886	293.199925	293.199886	293.199959	2.63427577e-05	0	0	0	0	0	3
10	76	4.92901942e-05	0.041893282	293.199871	293.19992	293.199871	293.199959	3.12372723e-05	0	0	0	0	0	3
11	79	5.57917886e-05	0.0460826102	293.199874	293.199915	293.199871	293.199959	3.66011888e-05	0	0	0	0	0	3
12	83	6.18897278e-05	0.0502719384	293.199878	293.199911	293.199871	293.199959	4.02149702e-05	0	0	0	0	0	3
13	86	6.76846396e-05	0.0544612666	293.199888	293.199909	293.199871	293.199959	4.22530882e-05	0	0	0	0	0	3
14	90	7.32767108e-05	0.0586505948	293.1999	293.199909	293.199871	293.199959	4.2935969e-05	0	0	0	0	0	3
15	94	7.86506047e-05	0.062839923	293.199891	293.199908	293.199871	293.199959	4.41349354e-05	0	0	0	0	0	3
16	97	8.64577198e-05	0.0670292512	293.199859	293.199903	293.199859	293.199959	4.85157918e-05	0	0	0	0	0	3
17	101	9.40414286e-05	0.0712185794	293.199859	293.1999	293.199859	293.199959	5.20970481e-05	0	0	0	0	0	3
18	104	0.000101625092	0.0754079076	293.199866	293.199897	293.199859	293.199959	5.45994217e-05	0	0	0	0	0	3
19	108	0.000109750221	0.0795972358	293.199853	293.199894	293.199853	293.199959	5.78640816e-05	0	0	0	0	0	3
20	111	0.000118680708	0.083786564	293.199844	293.19989	293.199844	293.199959	6.16257583e-05	0	0	0	0	0	3
21	114	0.000133031547	0.0879758922	293.199831	293.199884	293.199831	293.199959	6.80287201e-05	0	0	0	0	0	3
22	118	0.000148130273	0.0921652204	293.199835	293.199879	293.199831	293.199959	7.29663813e-05	0	0	0	0	0	3
23	122	0.000164188878	0.0963545486	293.199835	293.199874	293.199831	293.199959	7.72874446e-05	0	0	0	0	0	3
24	125	0.000180741438	0.100543877	293.199839	293.199871	293.199831	293.199959	8.05222888e-05	0	0	0	0	0	3
25	129	0.0001980703	0.104733205	293.199828	293.199867	293.199828	293.199959	8.43183444e-05	0	0	0	0	0	3
26	132	0.000224377488	0.108922533	293.199831	293.199863	293.199828	293.199959	8.85363846e-05	0	0	0	0	0	3
27	136	0.000251805869	0.113111861	293.199825	293.199859	293.199825	293.199959	9.26572464e-05	0	0	0	0	0	3
28	139	0.000279513804	0.11730119	293.199824	293.199856	293.199824	293.199959	9.61357711e-05	0	0	0	0	0	3
29	143	0.000308172175	0.121490518	293.199817	293.199852	293.199817	293.199959	9.97634777e-05	0	0	0	0	0	3
30	146	0.000337119544	0.125679846	293.199823	293.199849	293.199817	293.199959	0.00010222398	0	0	0	0	0	3
31	150	0.000376615918	0.129869174	293.199817	293.199846	293.199817	293.199959	0.000105644592	0	0	0	0	0	3
32	153	0.000416221293	0.134058502	293.199815	293.199843	293.199815	293.199959	0.000108569101	0	0	0	0	0	3
33	157	0.000456858805	0.138247831	293.199816	293.199841	293.199815	293.199959	0.000110943056	0	0	0	0	0	3
34	160	0.000497908848	0.142437159	293.199819	293.199839	293.199815	293.199959	0.000112763942	0	0	0	0	0	3
35	163	0.000539335602	0.146626487	293.199814	293.199837	293.199814	293.199959	0.000114670875	0	0	0	0	0	3
36	167	0.000581130838	0.150815815	293.19983	293.199837	293.199814	293.199959	0.000115156673	0	0	0	0	0	3
37	170	0.00062329275	0.155005143	293.199826	293.199836	293.199814	293.199959	0.000115868625	0	0	0	0	0	3
38	173	0.000665750847	0.159194472	293.199844	293.199836	293.199814	293.199959	0.000115868625	0	0	0	0	0	3
39	177	0.000708583665	0.1633838	293.19984	293.199837	293.199814	293.199959	0.000115868625	0	0	0	0	0	3
40	180	0.000751691355	0.167573128	293.19985	293.199837	293.199814	293.199959	0.000115868625	0	0	0	0	0	3
41	183	0.000795159019	0.171762456	293.199858	293.199838	293.199814	293.199959	0.000115868625	0	0	0	0	0	3
42	186	0.000838918139	0.175951784	293.199865	293.19984	293.199814	293.199959	0.000115868625	0	0	0	0	0	3
43	190	0.000882996727	0.180141113	293.199874	293.199842	293.199814	293.199959	0.000115868625	0	0	0	0	0	3
44	193	0.000927250954	0.184330441	293.199878	293.199843	293.199814	293.199959	0.000115868625	0	0	0	0	0	3
45	196	0.000971879377	0.188519769	293.199894	293.199846	293.199814	293.199959	0.000115868625	0	0	0	0	0	3
46	200	0.00101658562	0.192709097	293.199899	293.199848	293.199814	293.199959	0.000115868625	0	0	0	0	0	3
47	203	0.0010615075	0.196898425	293.199904	293.19985	293.199814	293.199959	0.000115868625	0	0	0	0	0	3
48	207	0.00110647225	0.201087754	293.199916	293.199853	293.199814	293.199959	0.000115868625	0	0	0	0	0	3
49	210	0.00115174519	0.205277082	293.199929	293.199856	293.199814	293.199959	0.000115868625	0	0	0	0	0	3
50	213	0.00119718611	0.20946641	293.199941	293.199859	293.199814	293.199959	0.000115868625	0	0	0	0	0	3
51	217	0.00124290376	0.213655738	293.199953	293.199863	293.199814	293.199959	0.000115868625	0	0	0	0	0	3
52	220	0.00128878871	0.217845066	293.199961	293.199866	293.199814	293.199961	0.000115868625	0	0	0	0	0	3
53	223	0.00133489641	0.222034395	293.199975	293.19987	293.199814	293.199975	0.000115868625	0	0	0	0	0	3
54	227	0.00138111491	0.226223723	293.199989	293.199874	293.199814	293.199989	0.000115868625	0	0	0	0	0	3
55	230	0.00142752977	0.230413051	293.199995	293.199878	293.199814	293.199995	0.000115868625	0	0	0	0	0	3
56	233	0.00147394009	0.234602379	293.200007	293.199882	293.199814	293.200007	0.000115868625	0	0	0	0	0	3
57	236	0.00152057115	0.238791707	293.200019	293.199886	293.199814	293.200019	0.000115868625	0	0	0	0	0	3
58	240	0.00156719373	0.242981036	293.200036	293.199891	293.199814	293.200036	0.000115868625	0	0	0	0	0	3
59	243	0.00161404733	0.247170364	293.200054	293.199895	293.199814	293.200054	0.000115868625	0	0	0	0	0	3
60	247	0.00166090463	0.251359692	293.20006	293.1999	293.199814	293.20006	0.000115868625	0	0	0	0	0	3
