Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	44	1.47915122e-05	0.0041893282	103285.149	103285.149	103285.149	103285.149	0	0	0	0	0	0	3
2	47	1.74283098e-05	0.0083786564	102834.556	103216.977	102834.556	103285.149	68.1719309	0	0	0	0	0	3
3	51	2.02390588e-05	0.0125679846	101901.496	103034.286	101901.496	103285.149	250.862593	0	0	0	0	0	3
4	54	2.31709775e-05	0.0167573128	99644.5933	102605.375	99644.5933	103285.149	679.774343	0	0	0	0	0	3
5	58	2.61013774e-05	0.020946641	97304.977	102010.299	97304.977	103285.149	1274.84964	0	0	0	0	0	3
6	62	3.06489135e-05	0.0251359692	95362.1975	101023.886	95362.1975	103285.149	2261.26254	0	0	0	0	0	3
7	65	3.54507765e-05	0.0293252974	93597.5935	100017.983	93597.5935	103285.149	3267.16552	0	0	0	0	0	3
8	69	4.02038796e-05	0.0335146256	92531.2774	99132.8678	92531.2774	103285.149	4152.28124	0	0	0	0	0	3
9	72	4.48375489e-05	0.0377039538	91325.6699	98326.0446	91325.6699	103285.149	4959.1044	0	0	0	0	0	3
10	76	4.92901942e-05	0.041893282	89789.5341	97554.8962	89789.5341	103285.149	5730.25278	0	0	0	0	0	3
11	79	5.57917886e-05	0.0460826102	87509.6152	96384.2877	87509.6152	103285.149	6900.8613	0	0	0	0	0	3
12	83	6.18897278e-05	0.0502719384	85439.0946	95305.8677	85439.0946	103285.149	7979.28134	0	0	0	0	0	3
13	86	6.76846396e-05	0.0544612666	83546.3804	94299.0633	83546.3804	103285.149	8986.08571	0	0	0	0	0	3
14	90	7.32767108e-05	0.0586505948	81837.1867	93348.0421	81837.1867	103285.149	9937.10686	0	0	0	0	0	3
15	94	7.86506047e-05	0.062839923	80330.1637	92458.5805	80330.1637	103285.149	10826.5685	0	0	0	0	0	3
16	97	8.64577198e-05	0.0670292512	79036.6568	91246.5834	79036.6568	103285.149	12038.5656	0	0	0	0	0	3
17	101	9.40414286e-05	0.0712185794	78291.1859	90201.8315	78291.1859	103285.149	13083.3175	0	0	0	0	0	3
18	104	0.000101625092	0.0754079076	77853.4385	89280.346	77853.4385	103285.149	14004.803	0	0	0	0	0	3
19	108	0.000109750221	0.0795972358	77533.6106	88410.7008	77533.6106	103285.149	14874.4482	0	0	0	0	0	3
20	111	0.000118680708	0.083786564	77379.4457	87580.6209	77379.4457	103285.149	15704.5281	0	0	0	0	0	3
21	114	0.000133031547	0.0879758922	78407.9413	86591.1139	77379.4457	103285.149	16694.0351	0	0	0	0	0	3
22	118	0.000148130273	0.0921652204	80184.7939	85938.126	77379.4457	103285.149	17347.023	0	0	0	0	0	3
23	122	0.000164188878	0.0963545486	82034.5662	85556.3357	77379.4457	103285.149	17728.8133	0	0	0	0	0	3
24	125	0.000180741438	0.100543877	83409.7375	85359.7471	77379.4457	103285.149	17925.4019	0	0	0	0	0	3
25	129	0.0001980703	0.104733205	83687.9327	85213.4827	77379.4457	103285.149	18071.6663	0	0	0	0	0	3
26	132	0.000224377488	0.108922533	82564.886	84902.9474	77379.4457	103285.149	18382.2016	0	0	0	0	0	3
