Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0.0501082552	0.00556879605	293.2	293.2	293.2	293.2	0	0	0	0	0	0	3
2	3	0.0663078038	0.0111375921	293.2	293.2	293.2	293.2	1.08024096e-08	0	0	0	0	0	3
3	3	0.0851177217	0.0167063882	293.2	293.2	293.2	293.2	1.91158165e-08	0	0	0	0	0	3
4	4	0.104321536	0.0222751842	293.2	293.2	293.2	293.2	2.48857646e-08	0	0	0	0	0	3
5	4	0.124607865	0.0278439803	293.2	293.2	293.2	293.2	2.93671292e-08	0	0	0	0	0	3
6	4	0.160311059	0.0334127763	293.2	293.2	293.2	293.2	3.52002871e-08	0	0	0	0	0	3
7	5	0.201786883	0.0389815724	293.2	293.2	293.2	293.2	4.00770546e-08	0	0	0	0	0	3
8	5	0.245230605	0.0445503684	293.2	293.2	293.2	293.2	4.39954988e-08	0	0	0	0	0	3
9	5	0.289163657	0.0501191645	293.2	293.2	293.2	293.2	4.72298893e-08	0	0	0	0	0	3
10	6	0.333317486	0.0556879605	293.2	293.2	293.2	293.2	5.00127726e-08	0	0	0	0	0	3
11	6	0.401136693	0.0612567566	293.2	293.2	293.2	293.2	5.38287281e-08	0	0	0	0	0	3
12	6	0.469188992	0.0668255526	293.2	293.2	293.2	293.2	5.71640157e-08	0	0	0	0	0	3
13	7	0.5373937	0.0723943487	293.2	293.2	293.2	293.2	6.01821171e-08	0	0	0	0	0	3
14	7	0.605647205	0.0779631447	293.2	293.2	293.2	293.2	6.29777901e-08	0	0	0	0	0	3
15	7	0.673900166	0.0835319408	293.2	293.2	293.2	293.2	6.56096404e-08	0	0	0	0	0	3
16	8	0.774392114	0.0891007368	293.2	293.2	293.2	293.2	6.93876245e-08	0	0	0	0	0	3
17	8	0.870588267	0.0946695329	293.2	293.2	293.2	293.2	7.27890779e-08	0	0	0	0	0	3
18	9	0.96343286	0.100238329	293.2	293.2	293.2	293.2	7.59308136e-08	0	0	0	0	0	3
19	9	1	0.105807125	293.2	293.2	293.2	293.2	7.70838824e-08	0	0	0	0	0	3
20	10	0	0.121219947	293.199999	293.2	293.199999	293.2	9.23199082e-08	0	0	0	0	0	3
21	11	0	0.136632769	293.199999	293.2	293.199999	293.2	1.13687406e-07	0	0	0	0	0	3
22	11	0	0.152045591	293.199999	293.2	293.199999	293.2	1.33594313e-07	0	0	0	0	0	3
23	11	0	0.167458414	293.199999	293.2	293.199999	293.2	1.52350765e-07	0	0	0	0	0	3
24	12	0	0.182871236	293.199999	293.2	293.199999	293.2	1.70059877e-07	0	0	0	0	0	3
25	12	0	0.198284058	293.199999	293.2	293.199999	293.2	1.86715909e-07	0	0	0	0	0	3
26	13	0	0.21369688	293.199999	293.2	293.199999	293.2	2.0245227e-07	0	0	0	0	0	3
27	13	0	0.229109702	293.199999	293.2	293.199999	293.2	2.17251454e-07	0	0	0	0	0	3
28	13	0	0.244522524	293.199999	293.2	293.199999	293.2	2.31224249e-07	0	0	0	0	0	3
29	14	0	0.259935346	293.199999	293.2	293.199999	293.2	2.44440741e-07	0	0	0	0	0	3
30	14	0	0.275348169	293.199999	293.2	293.199999	293.2	2.56965563e-07	0	0	0	0	0	3
31	14	0	0.290760991	293.199999	293.2	293.199999	293.2	2.68147858e-07	0	0	0	0	0	3
32	15	0	0.306173813	293.199999	293.2	293.199999	293.2	2.78556115e-07	0	0	0	0	0	3
33	15	0	0.321586635	293.199999	293.2	293.199999	293.2	2.88085744e-07	0	0	0	0	0	3
34	15	0	0.336999457	293.199999	293.2	293.199999	293.2	2.9665955e-07	0	0	0	0	0	3
35	16	0	0.352412279	293.199999	293.2	293.199999	293.2	3.03775266e-07	0	0	0	0	0	3
36	16	0	0.367825101	293.2	293.2	293.199999	293.2	3.03775266e-07	0	0	0	0	0	3
37	17	0	0.383237924	293.200006	293.2	293.199999	293.200006	3.03775266e-07	0	0	0	0	0	3
38	17	0	0.398650746	293.200034	293.200001	293.199999	293.200034	1.10278114e-06	0	0	0	0	0	3
39	17	0	0.414063568	293.200138	293.200004	293.199999	293.200138	4.61620795e-06	0	0	0	0	0	3
40	18	0	0.42947639	293.200459	293.200016	293.199999	293.200459	1.59790156e-05	0	0	0	0	0	3
41	18	0	0.444889212	293.203305	293.200096	293.199999	293.203305	9.61999136e-05	0	0	0	0	0	3
42	19	0	0.460302034	293.213391	293.200412	293.199999	293.213391	0.000412756504	0	0	0	0	0	3
43	19	0	0.475714856	293.241148	293.20136	293.199999	293.241148	0.00136008504	0	0	0	0	0	3
44	19	0	0.491127679	293.30496	293.203714	293.199999	293.30496	0.00371462583	0	0	0	0	0	3
45	20	0	0.506540501	293.432724	293.209004	293.199999	293.432724	0.00900381189	0	0	0	0	0	3
46	20	0	0.521953323	293.663203	293.219985	293.199999	293.663203	0.0199853594	0	0	0	0	0	3
47	20	0	0.537366145	294.041606	293.241487	293.199999	294.041606	0.0414872111	0	0	0	0	0	3
48	21	0	0.552778967	294.617518	293.279961	293.199999	294.617518	0.079961374	0	0	0	0	0	3
49	21	0	0.568191789	295.43932	293.344805	293.199999	295.43932	0.144805771	0	0	0	0	0	3
50	21	0	0.583604611	296.548145	293.448741	293.199999	296.548145	0.24874166	0	0	0	0	0	3
51	22	0	0.599017434	297.968449	293.596306	293.199999	297.968449	0.396306076	0	0	0	0	0	3
52	22	0	0.614430256	299.714219	293.805716	293.199999	299.714219	0.605715913	0	0	0	0	0	3
53	23	0	0.629843078	301.789453	294.066002	293.199999	301.789453	0.86600238	0	0	0	0	0	3
54	23	0	0.6452559	304.163731	294.398236	293.199999	304.163731	1.19823666	0	0	0	0	0	3
55	23	0	0.660668722	306.791642	294.810104	293.199999	306.791642	1.61010462	0	0	0	0	0	3
56	24	0	0.676081544	309.634993	295.308134	293.199999	309.634993	2.10813473	0	0	0	0	0	3
57	24	0	0.691494366	312.607156	295.89623	293.199999	312.607156	2.6962304	0	0	0	0	0	3
58	24	0	0.706907189	315.66118	296.576872	293.199999	315.66118	3.37687222	0	0	0	0	0	3
59	25	0	0.722320011	318.729475	297.350492	293.199999	318.729475	4.15049269	0	0	0	0	0	3
60	25	0	0.737732833	321.76287	298.216034	293.199999	321.76287	5.01603424	0	0	0	0	0	3
61	25	0	0.753145655	324.70941	299.170865	293.199999	324.70941	5.97086488	0	0	0	0	0	3
62	26	0	0.768558477	327.539322	300.21145	293.199999	327.539322	7.01145042	0	0	0	0	0	3
63	26	0	0.783971299	330.212204	301.333032	293.199999	330.212204	8.13303239	0	0	0	0	0	3
64	26	0	0.799384122	332.710378	302.530316	293.199999	332.710378	9.33031659	0	0	0	0	0	3
65	27	0	0.814796944	335.020528	303.797605	293.199999	335.020528	10.5976053	0	0	0	0	0	3
66	27	0	0.830209766	337.142219	305.129187	293.199999	337.142219	11.9291877	0	0	0	0	0	3
67	27	0	0.845622588	339.075779	306.519363	293.199999	339.075779	13.3193629	0	0	0	0	0	3
68	28	0	0.86103541	340.8263	307.962584	293.2	340.8263	14.7625841	0	0	0	0	0	3
69	28	0	0.876448232	342.40353	309.4536	293.200006	342.40353	16.2535999	0	0	0	0	0	3
70	28	0	0.891861054	343.81691	310.987445	293.200034	343.81691	17.7874446	0	0	0	0	0	3
71	29	0	0.907273877	345.073133	312.559357	293.200138	345.073133	19.3593532	0	0	0	0	0	3
72	29	0	0.922686699	346.185822	314.164984	293.200459	346.185822	20.9649686	0	0	0	0	0	3
73	30	0	0.938099521	347.164506	315.800258	293.203305	347.164506	22.6001625	0	0	0	0	0	3
74	30	0	0.953512343	348.020917	317.461398	293.213391	348.020917	24.2609857	0	0	0	0	0	3
75	30	0	0.968925165	348.767822	319.144866	293.241148	348.767822	25.943506	0	0	0	0	0	3
76	31	0	0.984337987	349.416148	320.847139	293.30496	349.416148	27.6434242	0	0	0	0	0	3
77	31	0	0.999750809	349.97649	322.564458	293.432724	349.97649	29.3554541	0	0	0	0	0	3
78	31	0	1.01516363	350.458925	324.292524	293.663203	350.458925	31.0725393	1.71776776	0	5.5	0	0	3
79	32	0	1.03057645	350.872739	326.026147	294.041606	350.872739	32.7846597	1.72397498	0	5.2	0	0	3
80	32	0	1.04598928	351.226685	327.759028	294.617518	351.226685	34.4790667	1.72958351	0	5	0	0	3
81	33	0	1.0614021	351.528729	329.48361	295.43932	351.528729	36.1388045	1.7346531	0	4.7	0	0	3
82	33	0	1.07681492	351.785511	331.19107	296.548145	351.785511	37.7423289	1.73923555	0	4.6	0	0	3
83	33	0	1.09222774	352.003981	332.87155	297.968449	352.003981	39.2752444	1.74338287	0	4.4	0	0	3
