Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	9	7.09592683e-05	0.00556879605	0.128421479	0.128421479	0.128421479	0.128421479	0	0	0	0	0	0	3
2	10	9.29581808e-05	0.0111375921	-4.44469362	-0.953823868	-4.44469362	0.128421479	1.08224535	0	0	0	0	0	3
3	12	0.000117888856	0.0167063882	-5.06329127	-1.82287801	-5.06329127	0.128421479	1.95129948	0	0	0	0	0	3
4	13	0.00014356205	0.0222751842	-6.14229622	-2.59531934	-6.14229622	0.128421479	2.72374081	0	0	0	0	0	3
5	14	0.000169492047	0.0278439803	-7.77902993	-3.38835713	-7.77902993	0.128421479	3.51677861	0	0	0	0	0	3
6	16	0.000214100354	0.0334127763	-11.1132193	-4.99785014	-11.1132193	0.128421479	5.12627162	0	0	0	0	0	3
7	17	0.000268041784	0.0389815724	-15.0585577	-7.02249326	-15.0585577	0.128421479	7.15091474	0	0	0	0	0	3
8	18	0.000324199003	0.0445503684	-21.2518077	-9.48727175	-21.2518077	0.128421479	9.61569323	0	0	0	0	0	3
9	20	0.000381054483	0.0501191645	-28.2035027	-12.2798391	-28.2035027	0.128421479	12.4082605	0	0	0	0	0	3
10	21	0.000438108063	0.0556879605	-32.3879562	-14.8984626	-32.3879562	0.128421479	15.026884	0	0	0	0	0	3
11	22	0.000523672102	0.0612567566	-42.891436	-19.4723015	-42.891436	0.128421479	19.600723	0	0	0	0	0	3
12	23	0.000609846314	0.0668255526	-47.0231033	-23.3653621	-47.0231033	0.128421479	23.4937835	0	0	0	0	0	3
13	25	0.000693455586	0.0723943487	-51.6251035	-26.7726119	-51.6251035	0.128421479	26.9010334	0	0	0	0	0	3
14	26	0.000773939311	0.0779631447	-57.763742	-29.9954506	-57.763742	0.128421479	30.1238721	0	0	0	0	0	3
15	27	0.000848255761	0.0835319408	-61.4903822	-32.7547499	-61.4903822	0.128421479	32.8831714	0	0	0	0	0	3
16	29	0.000950820798	0.0891007368	-70.6949586	-36.8473601	-70.6949586	0.128421479	36.9757816	0	0	0	0	0	3
17	30	0.00104564788	0.0946695329	-78.20043	-40.5975625	-78.20043	0.128421479	40.7259839	0	0	0	0	0	3
18	31	0.00113603186	0.100238329	-86.957911	-44.2860441	-86.957911	0.128421479	44.4144656	0	0	0	0	0	3
19	32	0.00122488323	0.105807125	-94.2272056	-47.9087082	-94.2272056	0.128421479	48.0371297	0	0	0	0	0	3
20	34	0.00131268946	0.111375921	-102.500106	-51.5603448	-102.500106	0.128421479	51.6887663	0	0	0	0	0	3
21	35	0.00144376926	0.116944717	-114.728251	-57.2953587	-114.728251	0.128421479	57.4237801	0	0	0	0	0	3
22	36	0.00157550843	0.122513513	-124.980941	-62.9550186	-124.980941	0.128421479	63.0834401	0	0	0	0	0	3
23	38	0.00170915783	0.128082309	-134.855797	-68.5773758	-134.855797	0.128421479	68.7057972	0	0	0	0	0	3
24	39	0.00184509052	0.133651105	-142.536856	-74.0261663	-142.536856	0.128421479	74.1545878	0	0	0	0	0	3
25	40	0.00198154309	0.139219901	-147.576482	-79.0909712	-147.576482	0.128421479	79.2193927	0	0	0	0	0	3
26	42	0.00218701597	0.144788697	-167.405137	-87.3881973	-167.405137	0.128421479	87.5166188	0	0	0	0	0	3
27	43	0.00239276647	0.150357493	-175.163386	-94.9358577	-175.163386	0.128421479	95.0642792	0	0	0	0	0	3
28	45	0.00259829459	0.155926289	-181.79326	-101.806379	-181.79326	0.128421479	101.934801	0	0	0	0	0	3
29	46	0.00280276313	0.161495086	-187.065494	-108.026244	-187.065494	0.128421479	108.154665	0	0	0	0	0	3
30	48	0.00300639112	0.167063882	-193.594178	-113.821905	-193.594178	0.128421479	113.950327	0	0	0	0	0	3
