Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0.0501082552	0.00556879605	8.10140608e-06	8.10140608e-06	8.10140608e-06	8.10140608e-06	0	0	0	0	0	0	3
2	3	0.0663078038	0.0111375921	1.00986569e-07	6.14683697e-06	1.00986569e-07	8.10140608e-06	1.9545691e-06	0	0	0	0	0	3
3	3	0.0851177217	0.0167063882	-3.0309691e-08	4.78176729e-06	-3.0309691e-08	8.10140608e-06	3.31963879e-06	0	0	0	0	0	3
4	4	0.104321536	0.0222751842	-7.39895315e-08	3.88790532e-06	-7.39895315e-08	8.10140608e-06	4.21350076e-06	0	0	0	0	0	3
5	4	0.124607865	0.0278439803	-1.1055352e-08	3.25314926e-06	-7.39895315e-08	8.10140608e-06	4.84825682e-06	0	0	0	0	0	3
6	4	0.160311059	0.0334127763	-6.07877954e-09	2.52728012e-06	-7.39895315e-08	8.10140608e-06	5.57412596e-06	0	0	0	0	0	3
7	5	0.201786883	0.0389815724	-9.56366475e-09	2.00585035e-06	-7.39895315e-08	8.10140608e-06	6.09555573e-06	0	0	0	0	0	3
8	5	0.245230605	0.0445503684	-1.20088791e-08	1.64837738e-06	-7.39895315e-08	8.10140608e-06	6.4530287e-06	0	0	0	0	0	3
9	5	0.289163657	0.0501191645	-1.10545569e-08	1.39625748e-06	-7.39895315e-08	8.10140608e-06	6.70514859e-06	0	0	0	0	0	3
10	6	0.333317486	0.0556879605	-5.42926616e-09	1.21057915e-06	-7.39895315e-08	8.10140608e-06	6.89082693e-06	0	0	0	0	0	3
11	6	0.401136693	0.0612567566	-4.91978866e-09	1.00507769e-06	-7.39895315e-08	8.10140608e-06	7.09632839e-06	0	0	0	0	0	3
12	6	0.469188992	0.0668255526	6.89385382e-10	8.59398796e-07	-7.39895315e-08	8.10140608e-06	7.24200728e-06	0	0	0	0	0	3
13	7	0.5373937	0.0723943487	-2.13329275e-09	7.50055228e-07	-7.39895315e-08	8.10140608e-06	7.35135085e-06	0	0	0	0	0	3
14	7	0.605647205	0.0779631447	3.87388066e-09	6.65964207e-07	-7.39895315e-08	8.10140608e-06	7.43544187e-06	0	0	0	0	0	3
15	7	0.673900166	0.0835319408	1.22432993e-09	5.98639005e-07	-7.39895315e-08	8.10140608e-06	7.50276707e-06	0	0	0	0	0	3
16	8	0.774392114	0.0891007368	8.13650392e-09	5.22010194e-07	-7.39895315e-08	8.10140608e-06	7.57939588e-06	0	0	0	0	0	3
17	8	0.870588267	0.0946695329	8.72045382e-09	4.65293948e-07	-7.39895315e-08	8.10140608e-06	7.63611213e-06	0	0	0	0	0	3
18	9	0.96343286	0.100238329	2.68931993e-08	4.23045919e-07	-7.39895315e-08	8.10140608e-06	7.67836016e-06	0	0	0	0	0	3
19	9	1	0.105807125	2.14663669e-08	4.08361304e-07	-7.39895315e-08	8.10140608e-06	7.69304477e-06	0	0	0	0	0	3
20	10	0	0.121219947	6.43093839e-09	4.05664245e-07	-7.39895315e-08	8.10140608e-06	7.69574183e-06	0	0	0	0	0	3
