Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0.0501082552	0.00556879605	293.200175	293.200175	293.200175	293.200175	0	0	0	0	0	0	3
2	3	0.0663078038	0.0111375921	293.200292	293.200203	293.200175	293.200292	2.86609356e-05	0	0	0	0	0	3
3	3	0.0851177217	0.0167063882	293.200453	293.200258	293.200175	293.200453	8.39489389e-05	0	0	0	0	0	3
4	4	0.104321536	0.0222751842	293.200674	293.200335	293.200175	293.200674	0.000160502652	0	0	0	0	0	3
5	4	0.124607865	0.0278439803	293.200928	293.200432	293.200175	293.200928	0.0002569704	0	0	0	0	0	3
6	4	0.160311059	0.0334127763	293.201652	293.200703	293.200175	293.201652	0.000528812513	0	0	0	0	0	3
7	5	0.201786883	0.0389815724	293.202702	293.201114	293.200175	293.202702	0.00093963035	0	0	0	0	0	3
8	5	0.245230605	0.0445503684	293.204343	293.201686	293.200175	293.204343	0.001511677	0	0	0	0	0	3
9	5	0.289163657	0.0501191645	293.206126	293.202361	293.200175	293.206126	0.00218619165	0	0	0	0	0	3
10	6	0.333317486	0.0556879605	293.208508	293.203175	293.200175	293.208508	0.0030004479	0	0	0	0	0	3
11	6	0.401136693	0.0612567566	293.212496	293.204751	293.200175	293.212496	0.00457630783	0	0	0	0	0	3
12	6	0.469188992	0.0668255526	293.217486	293.206598	293.200175	293.217486	0.00642347132	0	0	0	0	0	3
13	7	0.5373937	0.0723943487	293.222248	293.208584	293.200175	293.222248	0.00840967733	0	0	0	0	0	3
14	7	0.605647205	0.0779631447	293.228246	293.2108	293.200175	293.228246	0.0106254848	0	0	0	0	0	3
15	7	0.673900166	0.0835319408	293.234269	293.213177	293.200175	293.234269	0.0130024378	0	0	0	0	0	3
16	8	0.774392114	0.0891007368	293.244994	293.217306	293.200175	293.244994	0.0171313558	0	0	0	0	0	3
17	8	0.870588267	0.0946695329	293.255601	293.221537	293.200175	293.255601	0.0213627876	0	0	0	0	0	3
18	9	0.96343286	0.100238329	293.26689	293.225908	293.200175	293.26689	0.0257333695	0	0	0	0	0	3
19	9	1	0.105807125	293.27135	293.22757	293.200175	293.27135	0.0273950433	0	0	0	0	0	3
20	10	0	0.121219947	293.795785	293.248761	293.200175	293.795785	0.0485863376	0	0	0	0	0	3
21	11	0	0.136632769	294.480902	293.307434	293.200175	294.480902	0.107259741	0	0	0	0	0	3
22	11	0	0.152045591	294.990537	293.383939	293.200175	294.990537	0.183764431	0	0	0	0	0	3
23	11	0	0.167458414	295.367052	293.470161	293.200175	295.367052	0.269986722	0	0	0	0	0	3
24	12	0	0.182871236	295.641886	293.56065	293.200175	295.641886	0.360475244	0	0	0	0	0	3
25	12	0	0.198284058	295.885956	293.653662	293.200175	295.885956	0.453487494	0	0	0	0	0	3
26	13	0	0.21369688	296.258777	293.753859	293.200175	296.258777	0.553684221	0	0	0	0	0	3
27	13	0	0.229109702	296.625331	293.86021	293.200175	296.625331	0.660035057	0	0	0	0	0	3
28	13	0	0.244522524	297.000407	293.972359	293.200175	297.000407	0.772184958	0	0	0	0	0	3
29	14	0	0.259935346	297.34762	294.088748	293.200175	297.34762	0.888573248	0	0	0	0	0	3
30	14	0	0.275348169	297.684829	294.208617	293.200175	297.684829	1.00844261	0	0	0	0	0	3
31	14	0	0.290760991	298.231248	294.338379	293.200175	298.231248	1.13820488	0	0	0	0	0	3
32	15	0	0.306173813	298.789633	294.477481	293.200175	298.789633	1.27730656	0	0	0	0	0	3
33	15	0	0.321586635	299.400124	294.626652	293.200175	299.400124	1.42647755	0	0	0	0	0	3
34	15	0	0.336999457	300.047008	294.786074	293.200175	300.047008	1.58589978	0	0	0	0	0	3
35	16	0	0.352412279	300.725402	294.955769	293.200175	300.725402	1.75559485	0	0	0	0	0	3
36	16	0	0.367825101	301.828437	295.146677	293.200175	301.828437	1.94650228	0	0	0	0	0	3
37	17	0	0.383237924	302.964489	295.357969	293.200175	302.964489	2.15779451	0	0	0	0	0	3
38	17	0	0.398650746	304.15622	295.589502	293.200175	304.15622	2.38932742	0	0	0	0	0	3
39	17	0	0.414063568	305.408631	295.841275	293.200175	305.408631	2.64109997	0	0	0	0	0	3
40	18	0	0.42947639	306.703186	296.112822	293.200175	306.703186	2.91264777	0	0	0	0	0	3
41	18	0	0.444889212	308.675854	296.419238	293.200175	308.675854	3.21906318	0	0	0	0	0	3
42	19	0	0.460302034	310.667926	296.758492	293.200175	310.667926	3.55831767	0	0	0	0	0	3
43	19	0	0.475714856	312.695552	297.129122	293.200175	312.695552	3.92894698	0	0	0	0	0	3
44	19	0	0.491127679	314.739799	297.529364	293.200175	314.739799	4.32918965	0	0	0	0	0	3
45	20	0	0.506540501	316.793072	298.065566	293.200292	316.793072	4.86536321	0	0	0	0	0	3
46	20	0	0.521953323	318.857527	298.775388	293.200674	318.857527	5.57505342	0	0	0	0	0	3
47	20	0	0.537366145	320.922673	299.723442	293.202702	320.922673	6.52232784	0	0	0	0	0	3
48	21	0	0.552778967	322.971752	300.821018	293.208508	322.971752	7.61784304	0	0	0	0	0	3
49	21	0	0.568191789	325.004524	302.091506	293.222248	325.004524	8.88292219	0	0	0	0	0	3
50	21	0	0.583604611	327.007535	303.5631	293.244994	327.007535	10.3457944	0	0	0	0	0	3
51	22	0	0.599017434	328.970175	304.917003	293.26689	328.970175	11.6910947	0	0	0	0	0	3
52	22	0	0.614430256	330.885615	306.409863	293.795785	330.885615	13.1611016	0	0	0	0	0	3
53	23	0	0.629843078	332.744301	307.590121	294.480902	332.744301	14.2826863	0	0	0	0	0	3
54	23	0	0.6452559	334.536436	308.803925	294.990537	334.536436	15.4199857	0	0	0	0	0	3
55	23	0	0.660668722	336.245238	310.054067	295.367052	336.245238	16.5839058	0	0	0	0	0	3
56	24	0	0.676081544	337.861784	311.341786	295.641886	337.861784	17.7811364	0	0	0	0	0	3
57	24	0	0.691494366	339.390828	312.667512	295.885956	339.390828	19.0138497	0	0	0	0	0	3
58	24	0	0.706907189	340.823337	314.029251	296.258777	340.823337	20.2753918	0	0	0	0	0	3
59	25	0	0.722320011	342.154026	315.420016	296.625331	342.154026	21.5598061	0	0	0	0	0	3
60	25	0	0.737732833	343.380716	316.836845	297.000407	343.380716	22.864486	0	0	0	0	0	3
61	25	0	0.753145655	344.509611	318.276518	297.34762	344.509611	24.1877706	0	0	0	0	0	3
62	26	0	0.768558477	345.527319	319.736509	297.684829	345.527319	25.5278921	0	0	0	0	0	3
63	26	0	0.783971299	346.441698	321.21399	298.231248	346.441698	26.8756107	0	0	0	0	0	3
64	26	0	0.799384122	347.260087	322.699713	298.789633	347.260087	28.2222314	0	0	0	0	0	3
65	27	0	0.814796944	347.988169	324.190577	299.400124	347.988169	29.5639252	0	0	0	0	0	3
66	27	0	0.830209766	348.636035	325.682575	300.047008	348.636035	30.8965002	0	0	0	0	0	3
67	27	0	0.845622588	349.202824	327.172145	300.725402	349.202824	32.2163753	0	0	0	0	0	3
68	28	0	0.86103541	349.710858	328.656552	301.828437	349.710858	33.5098757	0	0	0	0	0	3
69	28	0	0.876448232	350.154174	330.120969	302.964489	350.154174	34.7629997	0	0	0	0	0	3
70	28	0	0.891861054	350.538567	331.562607	304.15622	350.538567	35.9731055	0	0	0	0	0	3
71	29	0	0.907273877	350.880631	332.978499	305.408631	350.880631	37.1372242	0	0	0	0	0	3
72	29	0	0.922686699	351.175659	334.365378	306.703186	351.175659	38.2525561	0	0	0	0	0	3
73	30	0	0.938099521	351.428796	335.7207	308.675854	351.428796	39.3014621	0	0	0	0	0	3
74	30	0	0.953512343	351.652712	337.023029	310.667926	351.652712	40.2645367	0	0	0	0	0	3
75	30	0	0.968925165	351.843005	338.270759	312.695552	351.843005	39.1474523	0	0	0	0	0	3
76	31	0	0.984337987	352.011285	339.462144	314.739799	352.011285	37.271486	0	0	0	0	0	3
77	31	0	0.999750809	352.155303	340.595948	316.793072	352.155303	35.362231	0	0	0	0	0	3
78	31	0	1.01516363	352.278421	341.671261	318.857527	352.278421	33.4208935	1.77233902	0	0	0	0	3
79	32	0	1.03057645	352.388001	342.687336	320.922673	352.388001	31.4653288	1.77396475	0	0	0	0	3
80	32	0	1.04598928	352.48017	343.643624	322.971752	352.48017	29.5084181	1.77538361	0	0	0	0	3
81	33	0	1.0614021	352.562179	344.540303	325.004524	352.562179	27.5576551	1.7766229	0	0	0	0	3
