Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	9	0	0.0125550385	1.05148269e-21	1.05148269e-21	1.05148269e-21	1.05148269e-21	0	0	0	0	0	0	3
2	11	0	0.025110077	-0.000226636215	-0.000113318107	-0.000226636215	1.05148269e-21	0.000113318107	0	0	0	0	0	3
3	12	0	0.0376651154	-0.000458123985	-0.0002282534	-0.000458123985	1.05148269e-21	0.0002282534	0	0	0	0	0	3
4	14	0	0.0502201539	-0.000742815056	-0.000356893814	-0.000742815056	1.05148269e-21	0.000356893814	0	0	0	0	0	3
5	15	0	0.0627751924	-0.0010004088	-0.000485596811	-0.0010004088	1.05148269e-21	0.000485596811	0	0	0	0	0	3
6	17	0	0.0753302309	-0.000992618182	-0.000570100372	-0.0010004088	1.05148269e-21	0.000570100372	0	0	0	0	0	3
7	18	0	0.0878852694	-0.000898107375	-0.000616958516	-0.0010004088	1.05148269e-21	0.000616958516	0	0	0	0	0	3
8	20	0	0.100440308	-0.0159758579	-0.00253682094	-0.0159758579	1.05148269e-21	0.00253682094	0	0	0	0	0	3
9	21	0	0.112995346	-0.0439383262	-0.00713698819	-0.0439383262	1.05148269e-21	0.00713698819	0	0	0	0	0	3
10	23	0	0.125550385	-0.081834786	-0.014606768	-0.081834786	1.05148269e-21	0.014606768	0	0	0	0	0	3
11	24	0	0.138105423	-0.129331728	-0.0250363098	-0.129331728	1.05148269e-21	0.0250363098	0	0	0	0	0	3
12	25	0	0.150660462	-0.204658773	-0.0400048484	-0.204658773	1.05148269e-21	0.0400048484	0	0	0	0	0	3
13	27	0	0.1632155	-0.271241645	-0.0577922942	-0.271241645	1.05148269e-21	0.0577922942	0	0	0	0	0	3
14	28	0	0.175770539	-0.322379837	-0.0766914044	-0.322379837	1.05148269e-21	0.0766914044	0	0	0	0	0	3
15	30	0	0.188325577	-0.367428386	-0.0960738698	-0.367428386	1.05148269e-21	0.0960738698	0	0	0	0	0	3
16	31	0	0.200880616	-0.420402782	-0.116344427	-0.420402782	1.05148269e-21	0.116344427	0	0	0	0	0	3
17	32	0	0.213435654	-0.483657102	-0.137951055	-0.483657102	1.05148269e-21	0.137951055	0	0	0	0	0	3
18	34	0	0.225990693	-0.530412181	-0.159754451	-0.530412181	1.05148269e-21	0.159754451	0	0	0	0	0	3
19	35	0	0.238545731	-0.563984536	-0.181029718	-0.563984536	1.05148269e-21	0.181029718	0	0	0	0	0	3
20	37	0	0.25110077	-0.618911691	-0.202923817	-0.618911691	1.05148269e-21	0.202923817	0	0	0	0	0	3
21	39	0	0.263655808	-0.671524808	-0.22523815	-0.671524808	1.05148269e-21	0.22523815	0	0	0	0	0	3
22	40	0	0.276210847	-0.748412041	-0.249018781	-0.748412041	1.05148269e-21	0.249018781	0	0	0	0	0	3
23	42	0	0.288765885	-0.82214912	-0.273937492	-0.82214912	1.05148269e-21	0.273937492	0	0	0	0	0	3
24	43	0	0.301320924	-0.919076373	-0.300818278	-0.919076373	1.05148269e-21	0.300818278	0	0	0	0	0	3
25	45	0	0.313875962	-0.985530086	-0.328206751	-0.985530086	1.05148269e-21	0.328206751	0	0	0	0	0	3
26	46	0	0.326431001	-1.08098878	-0.357159906	-1.08098878	1.05148269e-21	0.357159906	0	0	0	0	0	3
27	48	0	0.338986039	-1.19872677	-0.388329049	-1.19872677	1.05148269e-21	0.388329049	0	0	0	0	0	3
28	49	0	0.351541077	-1.27632889	-0.420043329	-1.27632889	1.05148269e-21	0.420043329	0	0	0	0	0	3
29	50	0	0.364096116	-1.40224994	-0.453912522	-1.40224994	1.05148269e-21	0.453912522	0	0	0	0	0	3
30	52	0	0.376651154	-1.53968248	-0.490104854	-1.53968248	1.05148269e-21	0.490104854	0	0	0	0	0	3
31	53	0	0.389206193	-1.59127399	-0.525626439	-1.59127399	1.05148269e-21	0.525626439	0	0	0	0	0	3
32	55	0	0.401761231	-1.76815581	-0.564455482	-1.76815581	1.05148269e-21	0.564455482	0	0	0	0	0	3
33	57	0	0.41431627	-1.88060433	-0.604338781	-1.88060433	1.05148269e-21	0.604338781	0	0	0	0	0	3
34	58	0	0.426871308	-1.94219103	-0.643687376	-1.94219103	1.05148269e-21	0.643687376	0	0	0	0	0	3
35	60	0	0.439426347	-2.13890937	-0.686408005	-2.13890937	1.05148269e-21	0.686408005	0	0	0	0	0	3
36	62	0	0.451981385	-2.26491341	-0.730255377	-2.26491341	1.05148269e-21	0.730255377	0	0	0	0	0	3
37	64	0	0.464536424	-2.31409772	-0.773061927	-2.31409772	1.05148269e-21	0.773061927	0	0	0	0	0	3
38	65	0	0.477091462	-2.495891	-0.818399534	-2.495891	1.05148269e-21	0.818399534	0	0	0	0	0	3
39	67	0	0.489646501	-2.59250993	-0.863889544	-2.59250993	1.05148269e-21	0.863889544	0	0	0	0	0	3
40	69	0	0.502201539	-2.75629655	-0.911199719	-2.75629655	1.05148269e-21	0.911199719	0	0	0	0	0	3
41	71	0	0.514756578	-2.90222787	-0.983755416	-2.90222787	-0.000226636215	0.983642098	0	0	0	0	0	3
42	73	0	0.527311616	-3.0057292	-1.05889298	-3.0057292	-0.000458123985	1.05866473	0	0	0	0	0	3
43	74	0	0.539866655	-3.10083418	-1.13640238	-3.10083418	-0.000742815056	1.13604549	0	0	0	0	0	3
44	76	0	0.552421693	-3.39464879	-1.22125003	-3.39464879	-0.000898107375	1.22076443	0	0	0	0	0	3
45	77	0	0.564976732	-3.45902273	-1.30770059	-3.45902273	-0.000898107375	1.30713049	0	0	0	0	0	3
46	79	0	0.57753177	-3.58237242	-1.39723508	-3.58237242	-0.000898107375	1.39661813	0	0	0	0	0	3
47	81	0	0.590086809	-3.90995917	-1.49496161	-3.90995917	-0.0159758579	1.49242479	0	0	0	0	0	3
48	82	0	0.602641847	-4.04804094	-1.59576324	-4.04804094	-0.0439383262	1.58862625	0	0	0	0	0	3
49	84	0	0.615196886	-4.22436023	-1.70027379	-4.22436023	-0.081834786	1.68566702	0	0	0	0	0	3
50	86	0	0.627751924	-4.42187587	-1.80877481	-4.42187587	-0.129331728	1.7837385	0	0	0	0	0	3
51	87	0	0.640306963	-4.56888378	-1.91976361	-4.56888378	-0.204658773	1.87975877	0	0	0	0	0	3
52	89	0	0.652862001	-4.59321356	-2.02947748	-4.59321356	-0.271241645	1.97168519	0	0	0	0	0	3
53	91	0	0.66541704	-4.56746094	-2.13688297	-4.59321356	-0.322379837	2.06019156	0	0	0	0	0	3
54	93	0	0.677972078	-4.55733684	-2.24275689	-4.59321356	-0.367428386	2.14668302	0	0	0	0	0	3
55	94	0	0.690527116	-4.41616454	-2.34397529	-4.59321356	-0.420402782	2.22763087	0	0	0	0	0	3
56	96	0	0.703082155	-4.27663903	-2.4403812	-4.59321356	-0.483657102	2.30243015	0	0	0	0	0	3
57	98	0	0.715637193	-4.12694051	-2.53146329	-4.59321356	-0.530412181	2.37170884	0	0	0	0	0	3
58	100	0	0.728192232	-3.96031697	-2.61721091	-4.59321356	-0.563984536	2.43618119	0	0	0	0	0	3
59	101	0	0.74074727	-3.80502079	-2.69823681	-4.59321356	-0.618911691	2.495313	0	0	0	0	0	3
60	103	0	0.753302309	-3.68962191	-2.77500457	-4.59321356	-0.671524808	2.54976642	0	0	0	0	0	3
61	104	0	0.765857347	-3.55722385	-2.84714704	-4.59321356	-0.748412041	2.59812826	0	0	0	0	0	3
62	106	0	0.778412386	-3.42413456	-2.91404011	-4.59321356	-0.82214912	2.64010262	0	0	0	0	0	3
63	108	0	0.790967424	-3.31278668	-2.97630605	-4.59321356	-0.919076373	2.67548777	0	0	0	0	0	3
64	109	0	0.803522463	-3.21346084	-3.03366566	-4.59321356	-0.985530086	2.70545891	0	0	0	0	0	3
65	111	0	0.816077501	-3.12714238	-3.08720597	-4.59321356	-1.08098878	2.73004606	0	0	0	0	0	3
66	113	0	0.82863254	-3.06530557	-3.13681388	-4.59321356	-1.19872677	2.74848484	0	0	0	0	0	3
67	114	0	0.841187578	-3.00549612	-3.18198312	-4.59321356	-1.27632889	2.76193979	0	0	0	0	0	3
68	116	0	0.853742617	-2.94682761	-3.22374559	-4.59321356	-1.40224994	2.76983306	0	0	0	0	0	3
69	118	0	0.866297655	-2.92524413	-3.26182044	-4.59321356	-1.53968248	2.77171559	0	0	0	0	0	3
70	119	0	0.878852694	-2.88328089	-3.2954104	-4.59321356	-1.59127399	2.76978396	0	0	0	0	0	3
71	121	0	0.891407732	-2.87723917	-3.32755953	-4.59321356	-1.76815581	2.76310405	0	0	0	0	0	3
72	123	0	0.903962771	-2.87136169	-3.35513968	-4.59321356	-1.88060433	2.71260923	0	0	0	0	0	3
73	124	0	0.916517809	-2.90823313	-3.3808304	-4.59321356	-1.94219103	2.65102254	0	0	0	0	0	3
74	126	0	0.929072848	-2.85702162	-3.40370116	-4.59321356	-2.13890937	2.45430419	0	0	0	0	0	3
75	128	0	0.941627886	-2.88303744	-3.42230436	-4.59321356	-2.26491341	2.32830015	0	0	0	0	0	3
76	129	0	0.954182925	-2.9202867	-3.4386887	-4.59321356	-2.31409772	2.27911585	0	0	0	0	0	3
77	131	0	0.966737963	-2.96189171	-3.45488355	-4.59321356	-2.495891	2.09732256	0	0	0	0	0	3
78	133	0	0.979293002	-2.94973533	-3.46622965	-4.59321356	-2.59250993	2.00070364	0	0	0	0	0	3
79	134	0	0.99184804	-2.93321117	-3.47474719	-4.59321356	-2.75629655	1.83691701	0	0	0	0	0	3
80	136	0	1.00440308	-2.92819552	-3.47904466	-4.59321356	-2.85702162	1.73619194	0.137782663	0	7.9	0	0	3
81	137	0	1.01695812	-2.9681822	-3.48069352	-4.59321356	-2.85702162	1.73619194	0.137782663	0	7.9	0	0	3
82	139	0	1.02951316	-2.94896944	-3.47927452	-4.59321356	-2.85702162	1.73619194	0.137782663	0	7.9	0	0	3
83	141	0	1.04206819	-2.90107043	-3.47428043	-4.59321356	-2.85702162	1.73619194	0.137782663	0	7.9	0	0	3
84	142	0	1.05462323	-2.93109201	-3.46269151	-4.59321356	-2.85702162	1.73619194	0.137782663	0	7.9	0	0	3
85	144	0	1.06717827	-2.87713486	-3.44814431	-4.59321356	-2.85702162	1.73619194	0.137782663	0	7.9	0	0	3
86	146	0	1.07973331	-2.84154458	-3.42962362	-4.59321356	-2.84154458	1.75166899	0.137782663	0	7.8	0	0	3
87	147	0	1.09228835	-2.77146696	-3.40116131	-4.59321356	-2.77146696	1.8217466	0.137782663	0	7.5	0	0	3
88	149	0	1.10484339	-2.82347379	-3.37054713	-4.59321356	-2.77146696	1.78041973	0.137782663	0	7.7	0	0	3
89	151	0	1.11739842	-2.62594414	-3.33058673	-4.59321356	-2.62594414	1.67191871	0.137782663	0	8.2	0	0	3
90	153	0	1.12995346	-2.66087183	-3.28656163	-4.59321356	-2.62594414	1.5609299	0.137782663	0	8.8	0	0	3
91	154	0	1.1425085	-2.54783433	-3.23603539	-4.59321356	-2.54783433	1.45121603	0.137782663	0	9.4	0	0	3
92	156	0	1.15506354	-2.53002039	-3.18445557	-4.56746094	-2.53002039	1.34381055	0.137782663	0	10.2	0	0	3
93	158	0	1.16761858	-2.35223744	-3.12907498	-4.55733684	-2.35223744	1.23793663	0.137782663	0	11.1	0	0	3
94	160	0	1.18017362	-2.28324107	-3.07222258	-4.41616454	-2.28324107	1.13671822	0.137782663	0	12.1	0	0	3
95	162	0	1.19272866	-2.24355827	-3.01790743	-4.27663903	-2.24355827	1.04031232	0.137782663	0	13.2	0	0	3
96	164	0	1.20528369	-2.19594074	-2.96588997	-4.12694051	-2.19594074	0.949230232	0.137782663	0	14.5	0	0	3
97	166	0	1.21783873	-2.0908449	-2.91498758	-3.96031697	-2.0908449	0.863482612	0.137782663	0	15.9	0	0	3
98	167	0	1.23039377	-2.05291193	-2.86730245	-3.80502079	-2.05291193	0.782456706	0.137782663	0	17.6	0	0	3
99	169	0	1.24294881	-2.14471993	-2.82579493	-3.68962191	-2.05291193	0.70568895	0.137782663	0	19.5	0	0	3
