Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	9	0	0.0125550385	293.248648	293.248648	293.248648	293.248648	0	0	0	1000	0	0	3
2	11	0	0.025110077	293.266731	293.25769	293.248648	293.266731	0.00904161422	0	0	0	0	0	3
3	12	0	0.0376651154	293.274062	293.263147	293.248648	293.274062	0.014499106	0	0	0	0	0	3
4	14	0	0.0502201539	293.284232	293.268418	293.248648	293.284232	0.0197704403	0	0	0	0	0	3
5	15	0	0.0627751924	293.296503	293.274035	293.248648	293.296503	0.0253872924	0	0	0	0	0	3
6	17	0	0.0753302309	293.303536	293.278952	293.248648	293.303536	0.0303040606	0	0	0	0	0	3
7	18	0	0.0878852694	293.328072	293.285969	293.248648	293.328072	0.037321132	0	0	0	0	0	3
8	20	0	0.100440308	293.66957	293.333919	293.248648	293.66957	0.0852712928	0	0	0	0	0	3
9	21	0	0.112995346	292.241932	293.212587	292.241932	293.66957	0.121331977	0	0	0	0	0	3
10	23	0	0.125550385	289.968114	292.88814	289.968114	293.66957	0.445779363	0	0	0	0	0	3
11	24	0	0.138105423	283.614693	292.045099	283.614693	293.66957	1.28881997	0	0	0	0	0	3
12	25	0	0.150660462	277.185458	290.806796	277.185458	293.66957	2.5271234	0	0	0	0	0	3
13	27	0	0.1632155	271.502767	289.321871	271.502767	293.66957	4.01204873	0	0	0	0	0	3
14	28	0	0.175770539	266.239511	287.673131	266.239511	293.66957	5.66078873	0	0	0	0	0	3
15	30	0	0.188325577	261.424605	285.923229	261.424605	293.66957	7.41069041	0	0	0	0	0	3
16	31	0	0.200880616	255.220576	284.004313	255.220576	293.66957	9.32960623	0	0	0	0	0	3
17	32	0	0.213435654	250.550385	282.036435	250.550385	293.66957	11.2974844	0	0	0	0	0	3
18	34	0	0.225990693	252.358045	280.387636	250.550385	293.66957	12.9462838	0	0	0	0	0	3
19	35	0	0.238545731	250.006267	278.788616	250.006267	293.66957	14.5453032	0	0	0	0	0	3
20	37	0	0.25110077	250.318708	277.365121	250.006267	293.66957	15.9687986	0	0	0	0	0	3
21	39	0	0.263655808	248.403373	275.98599	248.403373	293.66957	17.3479294	0	0	0	0	0	3
22	40	0	0.276210847	249.000896	274.759395	248.403373	293.66957	18.5745246	0	0	0	0	0	3
23	42	0	0.288765885	245.779173	273.499385	245.779173	293.66957	19.8345343	0	0	0	0	0	3
24	43	0	0.301320924	246.997619	272.395145	245.779173	293.66957	20.9387746	0	0	0	0	0	3
25	45	0	0.313875962	246.434087	271.356702	245.779173	293.66957	21.9772169	0	0	0	0	0	3
26	46	0	0.326431001	243.869098	270.299487	243.869098	293.66957	23.0344324	0	0	0	0	0	3
27	48	0	0.338986039	246.004419	269.39967	243.869098	293.66957	23.9342498	0	0	0	0	0	3
28	49	0	0.351541077	245.50837	268.546409	243.869098	293.66957	24.7875105	0	0	0	0	0	3
29	50	0	0.364096116	242.623677	267.652522	242.623677	293.66957	25.6813978	0	0	0	0	0	3
30	52	0	0.376651154	246.494256	266.947246	242.623677	293.66957	26.3866733	0	0	0	0	0	3
31	53	0	0.389206193	243.006317	266.174958	242.623677	293.66957	27.1589613	0	0	0	0	0	3
32	55	0	0.401761231	242.525494	265.435912	242.525494	293.66957	27.8980071	0	0	0	0	0	3
33	57	0	0.41431627	246.24278	264.854302	242.525494	293.66957	28.4796171	0	0	0	0	0	3
34	58	0	0.426871308	242.734137	264.203709	242.525494	293.66957	29.1302102	0	0	0	0	0	3
35	60	0	0.439426347	241.160949	263.545345	241.160949	293.66957	29.7885748	0	0	0	0	0	3
36	62	0	0.451981385	244.47859	263.015712	241.160949	293.66957	30.3182069	0	0	0	0	0	3
37	64	0	0.464536424	242.004318	262.447837	241.160949	293.66957	30.8860824	0	0	0	0	0	3
38	65	0	0.477091462	243.85635	261.958587	241.160949	293.66957	31.3753321	0	0	0	0	0	3
39	67	0	0.489646501	243.251361	261.478915	241.160949	293.66957	31.8550045	0	0	0	0	0	3
40	69	0	0.502201539	242.009851	260.992188	241.160949	293.66957	32.3417311	0	0	0	0	0	3
41	71	0	0.514756578	242.762887	259.730044	241.160949	293.66957	33.6038751	0	0	0	0	0	3
42	73	0	0.527311616	245.471353	258.53516	241.160949	293.66957	34.7987596	0	0	0	0	0	3
43	74	0	0.539866655	240.789184	257.223038	240.789184	293.66957	36.1108815	0	0	0	0	0	3
44	76	0	0.552421693	242.5282	255.954137	240.789184	293.66957	37.3797823	0	0	0	0	0	3
45	77	0	0.564976732	245.152143	254.750528	240.789184	293.66957	38.5833913	0	0	0	0	0	3
46	79	0	0.57753177	241.674505	253.459802	240.789184	293.66957	39.8741171	0	0	0	0	0	3
47	81	0	0.590086809	244.583178	252.24118	240.789184	293.66957	41.0927395	0	0	0	0	0	3
48	82	0	0.602641847	250.882951	251.171514	240.789184	292.241932	42.041073	0	0	0	0	0	3
49	84	0	0.615196886	261.420647	250.400982	240.789184	289.968114	42.4871577	0	0	0	0	0	3
50	86	0	0.627751924	280.137714	250.155222	240.789184	283.614693	41.8898771	0	0	0	0	0	3
51	87	0	0.640306963	308.217285	250.770287	240.789184	308.217285	40.6515736	0	0	0	0	0	3
52	89	0	0.652862001	359.131487	252.818938	240.789184	359.131487	39.1666483	0	0	0	0	0	3
53	91	0	0.66541704	422.389177	256.591098	240.789184	422.389177	37.5179083	0	0	0	0	0	3
54	93	0	0.677972078	493.638323	262.276068	240.789184	493.638323	35.7680066	0	0	0	0	0	3
55	94	0	0.690527116	574.035065	270.09133	240.789184	574.035065	33.8490908	0	0	0	0	0	3
56	96	0	0.703082155	661.099321	280.238298	240.789184	661.099321	31.8812127	0	0	0	0	0	3
57	98	0	0.715637193	761.258214	293.005994	240.789184	761.258214	42.8507719	0	0	0	0	0	3
58	100	0	0.728192232	859.104082	308.174645	240.789184	859.104082	58.0194228	0	0	0	0	0	3
59	101	0	0.74074727	956.110901	325.827261	240.789184	956.110901	75.6720387	0	0	0	0	0	3
60	103	0	0.753302309	1057.64807	346.010495	240.789184	1057.64807	95.8552728	0	0	0	0	0	3
61	104	0	0.765857347	1166.6383	368.966368	240.789184	1166.6383	118.811146	0	0	0	0	0	3
62	106	0	0.778412386	1273.77584	394.585742	240.789184	1273.77584	144.430519	0	0	0	0	0	3
63	108	0	0.790967424	1373.55162	422.780053	240.789184	1373.55162	172.624831	0	0	0	0	0	3
64	109	0	0.803522463	1462.72426	453.173219	240.789184	1462.72426	203.017997	0	0	0	0	0	3
65	111	0	0.816077501	1542.63403	485.578218	240.789184	1542.63403	235.422995	0	0	0	0	0	3
66	113	0	0.82863254	1614.49502	519.843866	240.789184	1614.49502	269.688643	0	0	0	0	0	3
67	114	0	0.841187578	1680.2621	555.700308	240.789184	1680.2621	305.545085	0	0	0	0	0	3
68	116	0	0.853742617	1729.8082	592.807803	240.789184	1729.8082	342.652581	0	0	0	0	0	3
69	118	0	0.866297655	1774.47685	631.104133	240.789184	1774.47685	380.94891	0	0	0	0	0	3
70	119	0	0.878852694	1800.75645	669.960687	240.789184	1800.75645	419.805465	0	0	0	0	0	3
71	121	0	0.891407732	1818.94395	709.359128	240.789184	1818.94395	459.203906	0	0	0	0	0	3
72	123	0	0.903962771	1817.17587	748.725388	240.789184	1818.94395	498.570165	0	0	0	0	0	3
73	124	0	0.916517809	1822.80933	788.139551	240.789184	1822.80933	537.984329	0	0	0	0	0	3
74	126	0	0.929072848	1808.33267	827.279515	240.789184	1822.80933	577.124292	0	0	0	0	0	3
75	128	0	0.941627886	1784.97256	865.874805	240.789184	1822.80933	615.719583	0	0	0	0	0	3
76	129	0	0.954182925	1749.32018	903.495845	240.789184	1822.80933	653.340622	0	0	0	0	0	3
77	131	0	0.966737963	1720.4188	940.456207	240.789184	1822.80933	690.300984	0	0	0	0	0	3
78	133	0	0.979293002	1685.46365	976.496389	240.789184	1822.80933	726.341167	0	0	0	0	0	3
79	134	0	0.99184804	1644.19206	1011.51991	240.789184	1822.80933	761.364684	0	0	0	0	0	3
80	136	0	1.00440308	1589.46253	1045.20622	240.789184	1822.80933	795.051001	47.4606044	0	5.9	0	0	3
81	137	0	1.01695812	1543.31596	1077.72005	240.789184	1822.80933	827.564828	47.4606044	0	5.7	0	0	3
82	139	0	1.02951316	1501.06019	1109.10977	240.789184	1822.80933	858.954549	47.4606044	0	5.5	0	0	3
83	141	0	1.04206819	1440.71969	1139.10803	241.674505	1822.80933	888.952812	47.4606044	0	5.3	0	0	3
84	142	0	1.05462323	1391.87497	1167.8417	241.674505	1822.80933	917.686481	47.4606044	0	5.1	0	0	3
85	144	0	1.06717827	1343.26385	1195.2945	241.674505	1822.80933	945.139274	47.4606044	0	5	0	0	3
86	146	0	1.07973331	1305.41939	1221.88812	244.583178	1822.80933	971.732896	47.4606044	0	4.8	0	0	3
87	147	0	1.09228835	1261.81796	1247.31899	250.882951	1822.80933	997.163765	47.4606044	0	4.7	0	0	3
88	149	0	1.10484339	1255.42923	1272.43264	261.420647	1822.80933	1022.27742	47.4606044	0	4.6	0	0	3
89	151	0	1.11739842	1224.53194	1296.51043	280.137714	1822.80933	1046.3552	47.4606044	0	4.5	0	0	3
90	153	0	1.12995346	1217.21735	1319.93742	308.217285	1822.80933	1069.16713	47.4606044	0	4.4	0	0	3
91	154	0	1.1425085	1200.90784	1342.25468	359.131487	1822.80933	1089.43574	47.4606044	0	4.3	0	0	3
92	156	0	1.15506354	1211.55623	1363.5653	422.389177	1822.80933	1106.9742	47.4606044	0	4.2	0	0	3
93	158	0	1.16761858	1210.36848	1383.26478	493.638323	1822.80933	1120.98871	47.4606044	0	4.2	0	0	3
94	160	0	1.18017362	1203.29661	1401.00624	574.035065	1822.80933	1130.91491	47.4606044	0	4.1	0	0	3
95	162	0	1.19272866	1192.33382	1416.46371	661.099321	1822.80933	1136.22541	47.4606044	0	4.1	0	0	3
96	164	0	1.20528369	1188.4433	1429.64731	761.258214	1822.80933	1061.55112	47.4606044	0	4.4	0	0	3
97	166	0	1.21783873	1176.74651	1440.03452	859.104082	1822.80933	963.70525	47.4606044	0	4.9	0	0	3
98	167	0	1.23039377	1148.69521	1447.27429	956.110901	1822.80933	866.69843	47.4606044	0	5.4	0	0	3
99	169	0	1.24294881	1149.15685	1452.10044	1057.64807	1822.80933	765.16126	47.4606044	0	6.2	0	0	3
100	171	0	1.25550385	1142.5744	1454.2236	1142.5744	1822.80933	680.234936	47.4606044	0	6.9	0	0	3
101	173	0	1.26805889	1124.05632	1453.15905	1124.05632	1822.80933	698.75301	47.4606044	0	6.7	0	0	3
102	175	0	1.28061393	1125.15423	1449.44351	1124.05632	1822.80933	698.75301	47.4606044	0	6.7	0	0	3
103	177	0	1.29316896	1109.88609	1442.85187	1109.88609	1822.80933	712.923243	47.4606044	0	6.6	0	0	3
104	179	0	1.305724	1085.60973	1433.42401	1085.60973	1822.80933	737.199606	47.4606044	0	6.4	0	0	3
105	180	0	1.31827904	1060.84262	1421.37922	1060.84262	1822.80933	761.966715	47.4606044	0	6.2	0	0	3
106	182	0	1.33083408	1031.95724	1406.81578	1031.95724	1822.80933	790.852094	47.4606044	0	6	0	0	3
107	184	0	1.34338912	1000.20472	1389.81435	1000.20472	1822.80933	822.604612	47.4606044	0	5.7	0	0	3
108	186	0	1.35594416	968.474389	1370.781	968.474389	1822.80933	823.119468	47.4606044	0	5.7	0	0	3
109	187	0	1.36849919	937.697419	1349.86151	937.697419	1822.80933	784.262914	47.4606044	0	6	0	0	3
110	189	0	1.38105423	899.579143	1327.33208	899.579143	1822.80933	744.864473	47.4606044	0	6.3	0	0	3
111	191	0	1.39360927	872.782773	1303.67805	872.782773	1822.80933	705.498213	47.4606044	0	6.7	0	0	3
112	192	0	1.40616431	840.074699	1279.25052	840.074699	1822.80933	666.08405	47.4606044	0	7.1	0	0	3
113	194	0	1.41871935	808.043989	1253.88139	808.043989	1808.33267	626.944086	47.4606044	0	7.5	0	0	3
114	196	0	1.43127439	786.584298	1228.33768	786.584298	1784.97256	588.348796	47.4606044	0	8	0	0	3
