Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	9	0	0.0125550385	293.2	293.2	293.2	293.2	0	0	0	0	0	0	3
2	11	0	0.025110077	293.2	293.2	293.2	293.2	5.68434189e-14	0	0	0	0	0	3
3	12	0	0.0376651154	293.204405	293.201468	293.2	293.204405	0.00146836954	0	0	0	0	0	3
4	14	0	0.0502201539	293.203168	293.201893	293.2	293.204405	0.00189318863	0	0	0	0	0	3
5	15	0	0.0627751924	293.19927	293.201369	293.19927	293.204405	0.00189318863	0	0	0	0	0	3
6	17	0	0.0753302309	293.143607	293.191742	293.143607	293.204405	0.0101514766	0	0	0	0	0	3
7	18	0	0.0878852694	292.967675	293.159732	292.967675	293.204405	0.0421609577	0	0	0	0	0	3
8	20	0	0.100440308	292.816988	293.116889	292.816988	293.204405	0.0850039285	0	0	0	0	0	3
9	21	0	0.112995346	292.717216	293.072481	292.717216	293.204405	0.129412026	0	0	0	0	0	3
10	23	0	0.125550385	292.759899	293.041223	292.717216	293.204405	0.160670271	0	0	0	0	0	3
11	24	0	0.138105423	292.710666	293.011172	292.710666	293.204405	0.19072089	0	0	0	0	0	3
12	25	0	0.150660462	292.690273	292.984431	292.690273	293.204405	0.217462486	0	0	0	0	0	3
13	27	0	0.1632155	292.645552	292.958363	292.645552	293.204405	0.243530106	0	0	0	0	0	3
14	28	0	0.175770539	292.566432	292.930368	292.566432	293.204405	0.271525207	0	0	0	0	0	3
15	30	0	0.188325577	292.480433	292.900372	292.480433	293.204405	0.301520884	0	0	0	0	0	3
16	31	0	0.200880616	292.362003	292.866724	292.362003	293.204405	0.335168974	0	0	0	0	0	3
17	32	0	0.213435654	292.254069	292.830686	292.254069	293.204405	0.371207505	0	0	0	0	0	3
18	34	0	0.225990693	292.155779	292.793191	292.155779	293.204405	0.40870231	0	0	0	0	0	3
19	35	0	0.238545731	292.065973	292.754916	292.065973	293.204405	0.446976941	0	0	0	0	0	3
20	37	0	0.25110077	291.966101	292.715475	291.966101	293.204405	0.486417703	0	0	0	0	0	3
21	39	0	0.263655808	291.736289	292.668848	291.736289	293.204405	0.533045648	0	0	0	0	0	3
22	40	0	0.276210847	291.485833	292.615074	291.485833	293.204405	0.586819045	0	0	0	0	0	3
23	42	0	0.288765885	291.201722	292.553624	291.201722	293.204405	0.648269137	0	0	0	0	0	3
24	43	0	0.301320924	290.855775	292.48288	290.855775	293.204405	0.719012841	0	0	0	0	0	3
25	45	0	0.313875962	290.443121	292.40129	290.443121	293.204405	0.800603224	0	0	0	0	0	3
26	46	0	0.326431001	289.685352	292.296831	289.685352	293.204405	0.905062383	0	0	0	0	0	3
27	48	0	0.338986039	288.777702	292.166493	288.777702	293.204405	1.0354005	0	0	0	0	0	3
28	49	0	0.351541077	287.673903	292.006043	287.673903	293.204405	1.19585013	0	0	0	0	0	3
29	50	0	0.364096116	286.339363	291.81064	286.339363	293.204405	1.39125289	0	0	0	0	0	3
30	52	0	0.376651154	284.771158	291.575991	284.771158	293.204405	1.62590231	0	0	0	0	0	3
31	53	0	0.389206193	282.01711	291.26764	282.01711	293.204405	1.9342533	0	0	0	0	0	3
32	55	0	0.401761231	279.00678	290.884488	279.00678	293.204405	2.31740516	0	0	0	0	0	3
33	57	0	0.41431627	275.802593	290.427461	275.802593	293.204405	2.77443228	0	0	0	0	0	3
34	58	0	0.426871308	272.488365	289.89984	272.488365	293.204405	3.30205274	0	0	0	0	0	3
35	60	0	0.439426347	269.121711	289.30618	269.121711	293.204405	3.89571357	0	0	0	0	0	3
36	62	0	0.451981385	263.902211	288.600514	263.902211	293.204405	4.60137936	0	0	0	0	0	3
37	64	0	0.464536424	259.153622	287.804652	259.153622	293.204405	5.39724129	0	0	0	0	0	3
38	65	0	0.477091462	254.824767	286.93676	254.824767	293.204405	6.265133	0	0	0	0	0	3
39	67	0	0.489646501	250.922569	286.013319	250.922569	293.204405	7.18857381	0	0	0	0	0	3
40	69	0	0.502201539	247.469007	285.049712	247.469007	293.204405	8.15218162	0	0	0	0	0	3
41	71	0	0.514756578	244.567662	283.833903	244.567662	293.204405	9.36799007	0	0	0	0	0	3
42	73	0	0.527311616	244.955308	282.627786	244.567662	293.204405	10.5741074	0	0	0	0	0	3
43	74	0	0.539866655	244.4489	281.408898	244.4489	293.203168	11.792995	0	0	0	0	0	3
44	76	0	0.552421693	243.794151	280.173673	243.794151	293.19927	13.0276958	0	0	0	0	0	3
45	77	0	0.564976732	243.36052	278.927704	243.36052	293.143607	14.2640377	0	0	0	0	0	3
46	79	0	0.57753177	243.68607	277.691266	243.36052	292.967675	15.4684667	0	0	0	0	0	3
47	81	0	0.590086809	243.433294	276.452906	243.36052	292.816988	16.6639832	0	0	0	0	0	3
48	82	0	0.602641847	244.328235	275.240687	243.36052	292.759899	17.831794	0	0	0	0	0	3
49	84	0	0.615196886	245.829395	274.068492	243.36052	292.759899	18.9727313	0	0	0	0	0	3
50	86	0	0.627751924	247.989318	272.949227	243.36052	292.710666	20.0619451	0	0	0	0	0	3
51	87	0	0.640306963	250.655404	271.897846	243.36052	292.690273	21.0865851	0	0	0	0	0	3
52	89	0	0.652862001	254.550071	270.944341	243.36052	292.645552	22.0140225	0	0	0	0	0	3
53	91	0	0.66541704	259.184914	270.107825	243.36052	292.566432	22.8225434	0	0	0	0	0	3
54	93	0	0.677972078	264.411554	269.403953	243.36052	292.480433	23.4964196	0	0	0	0	0	3
55	94	0	0.690527116	270.926649	268.865108	243.36052	292.362003	24.0016161	0	0	0	0	0	3
56	96	0	0.703082155	277.814853	268.501429	243.36052	292.254069	24.3292564	0	0	0	0	0	3
57	98	0	0.715637193	285.674092	268.33693	243.36052	292.155779	24.456261	0	0	0	0	0	3
58	100	0	0.728192232	294.038081	268.383987	243.36052	294.038081	24.4179864	0	0	0	0	0	3
59	101	0	0.74074727	302.889349	268.654572	243.36052	302.889349	24.3785456	0	0	0	0	0	3
60	103	0	0.753302309	311.920341	269.153428	243.36052	311.920341	24.3319176	0	0	0	0	0	3
61	104	0	0.765857347	321.011043	269.885297	243.36052	321.011043	24.2781442	0	0	0	0	0	3
62	106	0	0.778412386	329.988791	270.847871	243.36052	329.988791	24.2166942	0	0	0	0	0	3
63	108	0	0.790967424	338.745049	272.036454	243.36052	338.745049	24.1459505	0	0	0	0	0	3
64	109	0	0.803522463	347.127441	273.443245	243.36052	347.127441	24.0643601	0	0	0	0	0	3
65	111	0	0.816077501	355.104057	275.059769	243.36052	355.104057	23.9599009	0	0	0	0	0	3
66	113	0	0.82863254	362.526092	276.880787	243.36052	362.526092	23.8295628	0	0	0	0	0	3
67	114	0	0.841187578	369.484681	278.898462	243.36052	369.484681	23.6691132	0	0	0	0	0	3
68	116	0	0.853742617	375.841269	281.102646	243.36052	375.841269	23.4737104	0	0	0	0	0	3
69	118	0	0.866297655	381.691303	283.486445	243.36052	381.691303	23.239061	0	0	0	0	0	3
70	119	0	0.878852694	386.985765	286.04181	243.36052	386.985765	22.93071	0	0	0	0	0	3
71	121	0	0.891407732	391.77462	288.785747	243.36052	391.77462	22.5475581	0	0	0	0	0	3
72	123	0	0.903962771	395.971465	291.709865	243.36052	395.971465	23.3729347	0	0	0	0	0	3
73	124	0	0.916517809	399.631846	294.805596	243.36052	399.631846	26.468666	0	0	0	0	0	3
74	126	0	0.929072848	402.720067	298.061388	243.36052	402.720067	29.7244586	0	0	0	0	0	3
75	128	0	0.941627886	405.308057	301.466047	243.36052	405.308057	33.1291172	0	0	0	0	0	3
76	129	0	0.954182925	407.432171	305.054296	243.36052	407.432171	36.7173662	0	0	0	0	0	3
77	131	0	0.966737963	409.137458	308.803892	243.36052	409.137458	40.4669621	0	0	0	0	0	3
78	133	0	0.979293002	410.348984	312.691997	243.36052	410.348984	44.3550675	0	0	0	0	0	3
79	134	0	0.99184804	411.158208	316.697888	243.36052	411.158208	48.3609585	0	0	0	0	0	3
80	136	0	1.00440308	411.59783	320.801109	243.36052	411.59783	52.4641791	5.04711931	0	9.6	0	0	3
81	137	0	1.01695812	411.717688	324.97986	243.36052	411.717688	56.6429297	5.05071503	0	8.9	0	0	3
82	139	0	1.02951316	411.565247	329.145108	243.36052	411.717688	60.8081782	5.05071503	0	8.3	0	0	3
83	141	0	1.04206819	411.215356	333.314269	243.36052	411.717688	64.9773396	5.05071503	0	7.7	0	0	3
84	142	0	1.05462323	410.703438	337.487002	243.36052	411.717688	69.1500718	5.05071503	0	7.3	0	0	3
85	144	0	1.06717827	410.085484	341.655126	243.433294	411.717688	73.3181959	5.05071503	0	6.8	0	0	3
86	146	0	1.07973331	409.416869	345.798396	243.433294	411.717688	77.4614658	5.05071503	0	6.5	0	0	3
87	147	0	1.09228835	408.765338	349.931697	244.328235	411.717688	81.5947669	5.05071503	0	6.1	0	0	3
88	149	0	1.10484339	408.168762	354.02771	245.829395	411.717688	85.6907801	5.05071503	0	5.8	0	0	3
89	151	0	1.11739842	407.671258	358.073757	247.989318	411.717688	89.7368267	5.05071503	0	5.6	0	0	3
90	153	0	1.12995346	407.283766	362.056118	250.655404	411.717688	93.7191879	5.05071503	0	5.3	0	0	3
91	154	0	1.1425085	407.016612	365.965148	254.550071	411.717688	97.6282181	5.05071503	0	5.1	0	0	3
92	156	0	1.15506354	406.858843	369.772867	259.184914	411.717688	101.435937	5.05071503	0	4.9	0	0	3
93	158	0	1.16761858	406.73289	373.461567	264.411554	411.717688	105.124637	5.05071503	0	4.8	0	0	3
94	160	0	1.18017362	406.819639	377.021769	270.926649	411.717688	108.684839	5.05071503	0	4.6	0	0	3
95	162	0	1.19272866	406.971992	380.422902	277.814853	411.717688	112.085972	5.05071503	0	4.5	0	0	3
