Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	9	0	0.0125550385	287.789934	287.789934	287.789934	287.789934	0	0	0	0	0	0	3
2	11	0	0.025110077	290.462147	289.12604	287.789934	290.462147	1.33610629	0	0	0	0	0	3
3	12	0	0.0376651154	295.61255	291.28821	287.789934	295.61255	3.49827625	0	0	0	0	0	3
4	14	0	0.0502201539	299.791451	293.41402	287.789934	299.791451	5.6240864	0	0	0	0	0	3
5	15	0	0.0627751924	302.713008	295.273818	287.789934	302.713008	7.48388391	0	0	0	0	0	3
6	17	0	0.0753302309	302.555539	296.487438	287.789934	302.713008	8.69750405	0	0	0	0	0	3
7	18	0	0.0878852694	306.799749	297.960625	287.789934	306.799749	10.1706914	0	0	0	0	0	3
8	20	0	0.100440308	310.985563	299.588743	287.789934	310.985563	11.7988086	0	0	0	0	0	3
9	21	0	0.112995346	328.908244	302.846465	287.789934	328.908244	15.056531	0	0	0	0	0	3
10	23	0	0.125550385	337.831091	306.344928	287.789934	337.831091	18.5549936	0	0	0	0	0	3
11	24	0	0.138105423	370.245212	312.154044	287.789934	370.245212	24.3641104	0	0	0	0	0	3
12	25	0	0.150660462	385.473171	318.263972	287.789934	385.473171	30.4740375	0	0	0	0	0	3
13	27	0	0.1632155	423.404733	326.351722	287.789934	423.404733	38.5617884	0	0	0	0	0	3
14	28	0	0.175770539	433.077394	333.974985	287.789934	433.077394	46.1850507	0	0	0	0	0	3
15	30	0	0.188325577	464.530831	342.678708	287.789934	464.530831	54.8887738	0	0	0	0	0	3
16	31	0	0.200880616	463.324621	350.219077	287.789934	464.530831	62.4291433	0	0	0	0	0	3
17	32	0	0.213435654	483.582051	358.063958	287.789934	483.582051	70.2740241	0	0	0	0	0	3
18	34	0	0.225990693	475.150523	364.568767	287.789934	483.582051	76.7788333	0	0	0	0	0	3
19	35	0	0.238545731	488.413619	371.086917	287.789934	488.413619	83.2969834	0	0	0	0	0	3
20	37	0	0.25110077	478.808503	376.472997	287.789934	488.413619	88.6830627	0	0	0	0	0	3
21	39	0	0.263655808	490.446106	381.900288	287.789934	490.446106	94.1103536	0	0	0	0	0	3
22	40	0	0.276210847	482.949437	386.493431	287.789934	490.446106	98.7034968	0	0	0	0	0	3
23	42	0	0.288765885	491.039259	391.038902	287.789934	491.039259	103.248968	0	0	0	0	0	3
24	43	0	0.301320924	483.094973	394.874571	287.789934	491.039259	107.084637	0	0	0	0	0	3
25	45	0	0.313875962	490.646507	398.705449	287.789934	491.039259	110.915515	0	0	0	0	0	3
26	46	0	0.326431001	487.683937	402.127698	287.789934	491.039259	114.337764	0	0	0	0	0	3
27	48	0	0.338986039	500.1986	405.759954	287.789934	500.1986	117.97002	0	0	0	0	0	3
28	49	0	0.351541077	502.011665	409.197515	287.789934	502.011665	121.407581	0	0	0	0	0	3
29	50	0	0.364096116	517.447224	412.930264	287.789934	517.447224	125.14033	0	0	0	0	0	3
30	52	0	0.376651154	527.232983	416.740354	287.789934	527.232983	128.95042	0	0	0	0	0	3
31	53	0	0.389206193	555.084822	421.203079	287.789934	555.084822	133.413145	0	0	0	0	0	3
32	55	0	0.401761231	581.525243	426.213147	287.789934	581.525243	138.423213	0	0	0	0	0	3
33	57	0	0.41431627	614.16682	431.908712	287.789934	614.16682	144.118778	0	0	0	0	0	3
34	58	0	0.426871308	612.426242	437.218052	287.789934	614.16682	149.428118	0	0	0	0	0	3
35	60	0	0.439426347	624.108022	442.557765	287.789934	624.108022	154.767831	0	0	0	0	0	3
36	62	0	0.451981385	660.834561	448.621009	287.789934	660.834561	160.831075	0	0	0	0	0	3
37	64	0	0.464536424	699.324963	455.396792	287.789934	699.324963	167.606858	0	0	0	0	0	3
38	65	0	0.477091462	735.685067	462.772799	287.789934	735.685067	174.982865	0	0	0	0	0	3
39	67	0	0.489646501	770.078008	470.65242	287.789934	770.078008	182.862486	0	0	0	0	0	3
40	69	0	0.502201539	803.456375	478.972519	287.789934	803.456375	191.182585	0	0	0	0	0	3
41	71	0	0.514756578	853.780988	493.122295	290.462147	853.780988	203.996255	0	0	0	0	0	3
42	73	0	0.527311616	900.662832	508.377312	295.61255	900.662832	217.089102	0	0	0	0	0	3
43	74	0	0.539866655	948.293996	524.694348	299.791451	948.293996	231.280328	0	0	0	0	0	3
44	76	0	0.552421693	996.917349	542.122496	302.555539	996.917349	246.848678	0	0	0	0	0	3
45	77	0	0.564976732	1044.71762	560.672611	302.555539	1044.71762	264.185173	0	0	0	0	0	3
46	79	0	0.57753177	1090.17533	580.363106	306.799749	1090.17533	282.40248	0	0	0	0	0	3
47	81	0	0.590086809	1129.89835	600.940571	310.985563	1129.89835	301.351828	0	0	0	0	0	3
48	82	0	0.602641847	1164.69812	622.283385	328.908244	1164.69812	319.43692	0	0	0	0	0	3
49	84	0	0.615196886	1193.75516	643.904558	337.831091	1193.75516	337.55963	0	0	0	0	0	3
50	86	0	0.627751924	1218.90952	665.931519	370.245212	1218.90952	353.777474	0	0	0	0	0	3
51	87	0	0.640306963	1236.9154	687.598273	385.473171	1236.9154	369.334302	0	0	0	0	0	3
52	89	0	0.652862001	1253.07785	709.28839	423.404733	1253.07785	382.936668	0	0	0	0	0	3
53	91	0	0.66541704	1261.91927	730.251254	433.077394	1261.91927	396.276269	0	0	0	0	0	3
54	93	0	0.677972078	1263.19823	751.004274	463.324621	1263.19823	408.325567	0	0	0	0	0	3
55	94	0	0.690527116	1259.47927	770.877985	463.324621	1263.19823	420.658908	0	0	0	0	0	3
56	96	0	0.703082155	1250.41235	790.555179	475.150523	1263.19823	432.491221	0	0	0	0	0	3
57	98	0	0.715637193	1240.35164	809.474418	475.150523	1263.19823	444.905651	0	0	0	0	0	3
58	100	0	0.728192232	1231.02544	828.371291	478.808503	1263.19823	457.284374	0	0	0	0	0	3
59	101	0	0.74074727	1219.70917	846.65368	478.808503	1263.19823	470.180684	0	0	0	0	0	3
60	103	0	0.753302309	1206.056	864.834868	482.949437	1263.19823	482.93458	0	0	0	0	0	3
61	104	0	0.765857347	1187.57438	882.263075	482.949437	1263.19823	495.769644	0	0	0	0	0	3
62	106	0	0.778412386	1168.99768	899.414281	483.094973	1263.19823	508.375379	0	0	0	0	0	3
63	108	0	0.790967424	1164.42316	916.248878	483.094973	1263.19823	521.374307	0	0	0	0	0	3
64	109	0	0.803522463	1173.36096	933.505528	487.683937	1263.19823	534.800079	0	0	0	0	0	3
65	111	0	0.816077501	1190.29009	950.996617	487.683937	1263.19823	548.868919	0	0	0	0	0	3
66	113	0	0.82863254	1207.36364	968.98861	500.1986	1263.19823	563.228656	0	0	0	0	0	3
