Iteration	CPUTime	PhysTime	Travels
1	9	0	0.0125550385
2	11	0	0.025110077
3	12	0	0.0376651154
4	14	0	0.0502201539
5	15	0	0.0627751924
6	17	0	0.0753302309
7	18	0	0.0878852694
8	20	0	0.100440308
9	21	0	0.112995346
10	23	0	0.125550385
11	24	0	0.138105423
12	25	0	0.150660462
13	27	0	0.1632155
14	28	0	0.175770539
15	30	0	0.188325577
16	31	0	0.200880616
17	32	0	0.213435654
18	34	0	0.225990693
19	35	0	0.238545731
20	37	0	0.25110077
21	39	0	0.263655808
22	40	0	0.276210847
23	42	0	0.288765885
24	43	0	0.301320924
25	45	0	0.313875962
26	46	0	0.326431001
27	48	0	0.338986039
28	49	0	0.351541077
29	50	0	0.364096116
30	52	0	0.376651154
31	53	0	0.389206193
32	55	0	0.401761231
33	57	0	0.41431627
34	58	0	0.426871308
35	60	0	0.439426347
36	62	0	0.451981385
37	64	0	0.464536424
38	65	0	0.477091462
39	67	0	0.489646501
40	69	0	0.502201539
41	71	0	0.514756578
42	73	0	0.527311616
43	74	0	0.539866655
44	76	0	0.552421693
45	77	0	0.564976732
46	79	0	0.57753177
47	81	0	0.590086809
48	82	0	0.602641847
49	84	0	0.615196886
50	86	0	0.627751924
51	87	0	0.640306963
52	89	0	0.652862001
53	91	0	0.66541704
54	93	0	0.677972078
55	94	0	0.690527116
56	96	0	0.703082155
57	98	0	0.715637193
58	100	0	0.728192232
59	101	0	0.74074727
60	103	0	0.753302309
61	104	0	0.765857347
62	106	0	0.778412386
63	108	0	0.790967424
64	109	0	0.803522463
65	111	0	0.816077501
66	113	0	0.82863254
67	114	0	0.841187578
68	116	0	0.853742617
69	118	0	0.866297655
70	119	0	0.878852694
71	121	0	0.891407732
72	123	0	0.903962771
73	124	0	0.916517809
74	126	0	0.929072848
75	128	0	0.941627886
76	129	0	0.954182925
77	131	0	0.966737963
78	133	0	0.979293002
79	134	0	0.99184804
80	136	0	1.00440308
81	137	0	1.01695812
82	139	0	1.02951316
83	141	0	1.04206819
84	142	0	1.05462323
85	144	0	1.06717827
86	146	0	1.07973331
87	147	0	1.09228835
88	149	0	1.10484339
89	151	0	1.11739842
90	153	0	1.12995346
91	154	0	1.1425085
92	156	0	1.15506354
93	158	0	1.16761858
94	160	0	1.18017362
95	162	0	1.19272866
96	164	0	1.20528369
97	166	0	1.21783873
98	167	0	1.23039377
99	169	0	1.24294881
100	171	0	1.25550385
101	173	0	1.26805889
102	175	0	1.28061393
103	177	0	1.29316896
104	179	0	1.305724
105	180	0	1.31827904
106	182	0	1.33083408
107	184	0	1.34338912
108	186	0	1.35594416
109	187	0	1.36849919
110	189	0	1.38105423
111	191	0	1.39360927
112	192	0	1.40616431
113	194	0	1.41871935
114	196	0	1.43127439
115	197	0	1.44382943
116	199	0	1.45638446
117	201	0	1.4689395
118	203	0	1.48149454
119	206	0	1.49404958
120	208	0	1.50660462
121	210	0	1.51915966
122	211	0	1.53171469
123	213	0	1.54426973
124	214	0	1.55682477
125	216	0	1.56937981
126	218	0	1.58193485
127	219	0	1.59448989
128	221	0	1.60704493
129	223	0	1.61959996
130	224	0	1.632155
131	226	0	1.64471004
132	228	0	1.65726508
133	229	0	1.66982012
134	231	0	1.68237516
135	232	0	1.69493019
136	234	0	1.70748523
137	236	0	1.72004027
138	237	0	1.73259531
139	239	0	1.74515035
140	241	0	1.75770539
141	242	0	1.77026043
142	244	0	1.78281546
143	245	0	1.7953705
144	247	0	1.80792554
145	249	0	1.82048058
146	250	0	1.83303562
147	252	0	1.84559066
148	253	0	1.8581457
149	255	0	1.87070073
150	256	0	1.88325577
151	258	0	1.89581081
152	260	0	1.90836585
153	261	0	1.92092089
154	263	0	1.93347593
155	265	0	1.94603096
156	266	0	1.958586
157	268	0	1.97114104
158	269	0	1.98369608
159	271	0	1.99625112
160	273	0	2.00880616
161	274	0	2.0213612
162	276	0	2.03391623
163	277	0	2.04647127
164	279	0	2.05902631
165	280	0	2.07158135
166	282	0	2.08413639
167	284	0	2.09669143
168	285	0	2.10924646
169	287	0	2.1218015
170	288	0	2.13435654
171	290	0	2.14691158
172	291	0	2.15946662
173	293	0	2.17202166
174	295	0	2.1845767
175	296	0	2.19713173
176	298	0	2.20968677
177	300	0	2.22224181
178	301	0	2.23479685
179	303	0	2.24735189
180	304	0	2.25990693
181	306	0	2.27246197
182	307	0	2.285017
183	309	0	2.29757204
184	310	0	2.31012708
185	312	0	2.32268212
186	314	0	2.33523716
187	315	0	2.3477922
188	317	0	2.36034723
189	318	0	2.37290227
190	320	0	2.38545731
191	322	0	2.39801235
192	323	0	2.41056739
